property_id,property_name,city,state,site_review_count,site_review_rating
HTLGBO1000016238,Baragarh Regency,Manali,Himachal Pradesh,87,4
HTLGBO1000015822,Asian Suites A- 585,Gurgaon,Haryana,8,4.5
HTLGBO1000004551,Bevvan Resort,Goa,Goa,2,2.5
HTLGBO1000007993,Apple Inn Cottage,Manali,Himachal Pradesh,1,5
HTLGBO1000008281,Anmol Hotel Pvt.Ltd,Delhi,Delhi,121,2.8
HTLGBO1000002591,Baia Do Sol (A Boutique Beach Resort),Goa,Goa,16,3.9
HTLGBO1000016284,Balaji Residency,Delhi,Delhi,,
HTLGBO1000000104,BB Palace-A Boutique Hotel,Delhi,Delhi,550,4
HTLGBO1000061958,Art Inn Homestay,Jaipur,Rajasthan,1,3
HTLGBO1000073032,Arjun Homestay,Delhi,Delhi,,
HTLGBO1000078940,Ashirwad Homestay,Guwahati,Assam,21,4.3
HTLGBO1000003719,Apna Ghar- Sector 46,NOIDA,Uttar Pradesh,,
HTLGBO1000096488,Baba Guest House,Delhi,Delhi,,
HTLGBO1000054416,Baragarh Villa,Manali,Himachal Pradesh,,
HTLGBO1000008549,Annapurna Guest House,Goa,Goa,38,4.6
HTLGBO1000016892,ARAVINDAR RESIDENCY,Chennai,Tamil Nadu,28,3.6
HTLGBO1000059384,Balaram Palace Resort,Chitrasani,Gujarat,1,1
HTLGBO1000048022,Bhadrawati Safari Lodge,Sawai Madhopur,Rajasthan,,
HTLGBO1000075636,AS Clarks inn,Dalhousie,Himachal Pradesh,57,4.2
HTLGBO1000064884,"Beautiful Alleppey Tours Two Bedroom, Alleppey",Alleppey,Kerala,,
HTLGBO1000057350,Ashiyana,Pune,Maharashtra,,
HTLGBO1000059830,ASHIRWAD LODGING,Nanded,Maharashtra,41,3.2
HTLGBO1000011595,Aqua Marina Drive Inn,Mandarmani,West Bengal,127,4.5
HTLGBO1000013799,Annai Illam Guest House,Yercaud,Tamil Nadu,1,4.6
HTLGBO1000089780,Bella Marina Villa,Manali,Himachal Pradesh,1,4
HTLGBO1000086812,ATOM Guest House,Gurgaon,Haryana,,
HTLGBO1000067822,Bendmeer Group of House Boat and Resorts,Srinagar,Jammu and Kashmir,,
HTLGBO1000067716,Balaji Resorts,Pune,Maharashtra,,
HTLGBO1000069246,Asha Sukha Nivas Laudge,Chiplun,Maharashtra,,
HTLGBO1000006366,AR Suites Fontana Bay,Pune,Maharashtra,41,4.6
HTLGBO1000017212,Atithi Cottages,Manali,Himachal Pradesh,6,2.9
HTLGBO1000003192,Aurick Hotel,Bangalore,Karnataka,86,4
HTLGBO1000068416,Anugraha Deluxe Hotel,Bagalkot,Karnataka,,
HTLGBO1000022196,Best Western Plus Ekobarn,Wayanad,Kerala,72,4.3
HTLGBO1000049560,Aura Vaseela,Chandigarh,Punjab,1,1.6
HTLGBO1000001808,Anupam Resorts,Mcleodganj,Himachal Pradesh,12,4.1
HTLGBO1000029574,Atharv Coastal End Guest House,Goa,Goa,3,3.4
HTLGBO1000071886,Badrish,Rishikesh,Uttarakhand,,
HTLGBO1000082694,Balaji Inn,Anantapur,Andhra Pradesh,,
HTLGBO1000005868,Ashokas Naini Chalet,Nainital,Uttarakhand,23,3.5
HTLGBO1000066976,Apex Residency,Palakkad,Kerala,,
HTLGBO1000065234,Bens Houseboats 4 Bed Room A/c DLX (4),Alleppey,Kerala,,
HTLGBO1000059450,BE MY GUEST,Srinagar,Jammu and Kashmir,,
HTLGBO1000006017,AVNB Towers,Chennai,Tamil Nadu,119,3.6
HTLGBO1000069938,ATITHI RESIDENCY - MARTHAHALLI,Bangalore,Karnataka,3,4.3
HTLGBO1000005884,AROMA,Pushkar,Rajasthan,2,4.1
HTLGBO1000073460,Bahar Homestay,Dapoli Camp,Maharashtra,,
HTLGBO1000060966,BEACH HOTEL,Calicut,Kerala,,
HTLGBO1000013516,Arjun Villa,Goa,Goa,4,4.4
HTLGBO1000033556,Awesome Palace,Guwahati,Assam,1,4
HTLGBO1000029144,Arpanaa Hotel,Tiruvannamalai,Tamil Nadu,35,4.5
HTLGBO1000041196,Athidhi Guest House,Hyderabad,Andhra Pradesh,,
HTLGBO1000044618,Astoria Hotel,Mumbai,Maharashtra,,
HTLGBO1000063480,Bhagirathi Palace,Rishikesh,Uttarakhand,24,3.1
HTLGBO1000091722,Arihant Guest House.,Gwalior,Madhya Pradesh,12,2.7
HTLGBO1000018184,Avadh INN,Lucknow,Uttar Pradesh,13,3.8
HTLGBO1000061306,Athithi Homes,Ernakulam,Kerala,,
HTLGBO1000065184,Bens Houseboats 4 Bed Room A/c DLX (2),Alleppey,Kerala,,
HTLGBO1000053908,Antares Beach Resort,Goa,Goa,11,3.9
HTLGBO1000050440,Backpacker Panda Jaipur,Jaipur,Rajasthan,60,4.4
HTLGBO1000057558,Avasa Hotel,Noida,Uttar Pradesh,2,1.3
HTLGBO1000004840,Bagh Tola Kanha,Kanha,Madhya Pradesh,,
HTLGBO1000060314,ANNAS HOMESTAY,Munnar,Kerala,,
HTLGBO1000041716,Antonys Eco Houseboat,Alleppey,Kerala,,
HTLGBO1000025468,Araliayas Resort,Udaipur,Rajasthan,145,4.2
HTLGBO1000069798,Bhagini Residency,Bangalore,Karnataka,,
HTLGBO1000030830,AP House,Faizabad,Uttar Pradesh,,
HTLGBO1000072100,Aura Foothills,Bangalore,Karnataka,,
HTLGBO1000014146,Ayur County,Munnar,Kerala,69,3.7
HTLGBO1000061066,Bay Luxe,Goa,Goa,2,4
HTLGBO1000031516,Basera Guest House,Rohtak,Haryana,,
HTLGBO1000048098,Arya Beach Resort Mandarmani,Mandarmani,West Bengal,3,3.5
HTLGBO1000073186,Antiguo Alibaug,Raigad,Maharashtra,,
HTLGBO1000003306,Bellmount Resorts,Munnar,Kerala,80,4.2
HTLGBO1000029024,Bean Stalk Bagmane Homestay,Chikmagalur,Karnataka,0,0
HTLGBO1000049232,"Banayan Appartment ,Russell Street",Kolkata,West Bengal,,
HTLGBO1000057678,Baragarh Villa,Manali,Himachal Pradesh,,
HTLGBO1000086324,BAZIRA COTTAGES,Manali,Himachal Pradesh,,
HTLGBO1000032064,Ayushi Ayurvedi Retreat,Varkala,Kerala,,
HTLGBO1000078812,AVANTHIKA HOMESTAY,Thrissur,Kerala,,
HTLGBO1000056932,ASTORIA VEG,Kodaikanal,Tamil Nadu,,
HTLGBO1000071220,Arvind Niwas,Malwan,Maharashtra,,
HTLGBO1000006973,Balaji Residency,Chennai,Tamil Nadu,50,3.4
HTLGBO1000063092,Aryan Hotel,Lucknow,Uttar Pradesh,9,2.7
HTLGBO1000064302,Bens Houseboats 2 Bed Room A/c DLX (2),Alleppey,Kerala,,
HTLGBO1000009872,Best Western Plus O2,Indore,Madhya Pradesh,417,4.5
HTLGBO1000022480,Aspni Inn,Chennai,Tamil Nadu,47,3.3
